column,dtype,non_null,null,example
text_clean,object,337,0,"1. Statement of Purpose The purpose of this policy is to manage the use of Princeton University administrative and operational information with generative AI tools. In order to support the responsible use of generative AI tools and to mitigate the risks and limitations associated with their use, only generative AI tools licensed by the University should be used with University Information classified as Unrestricted Within Princeton or Confidential information under the University’s Information Security Policy. Publicly available generative AI tools lack the contractual protections required by the University. For guidance on the risks and limitations, as well as the appropriate use of, University-licensed generative AI tools, see the Generative AI at Princeton website. 2. Who Is Affected by This Policy This policy applies to all individuals and entities granted access to University Information, including, but not limited to, employees, contractors, temporary employees, and volunteers. For the purposes of this policy, University Information does not include information used for research, academic or instructional purposes. 3. Definitions Generative AI tools: information technology tools that create new content, such as text, images, or music, by learning patterns from existing data, and products that include such capabilities. University Information: information that Princeton University collects, possesses, or has access to, regardless of its source, to perform administrative and operational functions, including without limitation, student, financial and HR information. For the purposes of this policy, this does not include information used for research, academic or instructional purposes. University-licensed generative AI tool: generative AI tool for which the University maintains an enterprise agreement that grants the University a license to use such tool. (See the Princeton-Supported AI Tools webpage for a list of more broadly available University-licensed generative AI tools.) 4. Policy Statement University-licensed generative AI tools should be used with Princeton Information classified as Unrestricted Within Princeton or Confidential under the University’s Information Security Policy. The use of publicly available generative AI tools in conjunction with such Princeton Information is not permitted by the University. 5. Procedure for Requesting a Generative AI Tool If you are considering procuring a generative AI tool or if an existing information technology tool acquires generative AI capabilities, the first step is to schedule an Architecture & Security Review (ASR). For more information or to schedule an ASR, please visit the ASR webpage. If the product or tool receives ASR endorsement, Procurement or OIT must assist you with contract review and negotiation to ensure the University receives the necessary contractual protections. If you would like the University to consider licensing a particular generative AI tool, contact Vice President and CIO Daren Hubbard or Deputy CIO Carol Kondrach. Guidance on the Use of Generative AI at Princeton Do: Accountability and Responsibility: Ensure that AI systems are used responsibly by identifying the benefits, risks, and limitations associated with each use case. Please consult the University’s regulations in Rights, Rules, Responsibilities on appropriate and inappropriate uses of AI for academic work. Data Privacy: Protect sensitive information and adhere to relevant data protection regulations, and university policies, including data classification guidelines when crafting input prompts or giving Gen AI tools the access to documents, texts or images to an AI system. Accuracy and Quality: Maintain oversight and always review and validate AI-generated content to ensure accuracy and appropriateness. Biased data: Regularly monitor and evaluate the performance of the AI system for biases or unintended consequences. Transparency: Clearly communicate to the end users and stakeholders the use of AI to foster an environment of trust and accountability. Copyright and IP: Ensure AI-generated content doesn’t infringe on relevant copyright laws and respects intellectual property rights. This includes protected text, images, music, and other forms of media. Ethical considerations: Understand ethical implications of AI usage and use Gen AI applications in alignment with core values such as respect, fairness and explainability. Don’t: Data protection: Don't use non-public Princeton data in public Gen AI tools. Over-reliance on AI: Don’t rely on AI results without cross verification, particularly in complex or sensitive situations. Use system without understanding: Using the system without understanding how it makes decisions can lead to misuse or unintended consequences. If the AI system provides explanations for its decisions or suggestions, don’t ignore them. Overpromise and Underdeliver: Don’t set unrealistic expectations about what AI can achieve."
tokens,object,337,0,"['statement', 'purpose', 'purpose', 'policy', 'manage', 'use', 'princeton', 'university', 'administrative', 'operational', 'information', 'generative', 'ai', 'tools', 'order', 'support', 'responsible', 'use', 'generative', 'ai', 'tools', 'mitigate', 'risks', 'limitations', 'associated', 'use', 'generative', 'ai', 'tools', 'licensed', 'university', 'used', 'university', 'information', 'classified', 'unrestricted', 'within', 'princeton', 'confidential', 'information', 'university', 'information', 'security', 'policy', 'publicly', 'available', 'generative', 'ai', 'tools', 'lack', 'contractual', 'protections', 'required', 'university', 'guidance', 'risks', 'limitations', 'well', 'appropriate', 'use', 'university-licensed', 'generative', 'ai', 'tools', 'see', 'generative', 'ai', 'princeton', 'website', 'affected', 'policy', 'policy', 'applies', 'individuals', 'entities', 'granted', 'access', 'university', 'information', 'including', 'limited', 'employees', 'contractors', 'temporary', 'employees', 'volunteers', 'purposes', 'policy', 'university', 'information', 'include', 'information', 'used', 'research', 'academic', 'instructional', 'purposes', 'definitions', 'generative', 'ai', 'tools', 'information', 'technology', 'tools', 'create', 'new', 'content', 'text', 'images', 'music', 'learning', 'patterns', 'existing', 'data', 'products', 'include', 'capabilities', 'university', 'information', 'information', 'princeton', 'university', 'collects', 'possesses', 'access', 'regardless', 'source', 'perform', 'administrative', 'operational', 'functions', 'including', 'without', 'limitation', 'student', 'financial', 'hr', 'information', 'purposes', 'policy', 'include', 'information', 'used', 'research', 'academic', 'instructional', 'purposes', 'university-licensed', 'generative', 'ai', 'tool', 'generative', 'ai', 'tool', 'university', 'maintains', 'enterprise', 'agreement', 'grants', 'university', 'license', 'use', 'tool', 'see', 'princeton-supported', 'ai', 'tools', 'webpage', 'list', 'broadly', 'available', 'university-licensed', 'generative', 'ai', 'tools', 'policy', 'statement', 'university-licensed', 'generative', 'ai', 'tools', 'used', 'princeton', 'information', 'classified', 'unrestricted', 'within', 'princeton', 'confidential', 'university', 'information', 'security', 'policy', 'use', 'publicly', 'available', 'generative', 'ai', 'tools', 'conjunction', 'princeton', 'information', 'permitted', 'university', 'procedure', 'requesting', 'generative', 'ai', 'tool', 'considering', 'procuring', 'generative', 'ai', 'tool', 'existing', 'information', 'technology', 'tool', 'acquires', 'generative', 'ai', 'capabilities', 'first', 'step', 'schedule', 'architecture', 'security', 'review', 'asr', 'information', 'schedule', 'asr', 'please', 'visit', 'asr', 'webpage', 'product', 'tool', 'receives', 'asr', 'endorsement', 'procurement', 'oit', 'must', 'assist', 'contract', 'review', 'negotiation', 'ensure', 'university', 'receives', 'necessary', 'contractual', 'protections', 'would', 'like', 'university', 'consider', 'licensing', 'particular', 'generative', 'ai', 'tool', 'contact', 'vice', 'president', 'cio', 'daren', 'hubbard', 'deputy', 'cio', 'carol', 'kondrach', 'guidance', 'use', 'generative', 'ai', 'princeton', 'accountability', 'responsibility', 'ensure', 'ai', 'systems', 'used', 'responsibly', 'identifying', 'benefits', 'risks', 'limitations', 'associated', 'use', 'case', 'please', 'consult', 'university', 'regulations', 'rights', 'rules', 'responsibilities', 'appropriate', 'inappropriate', 'uses', 'ai', 'academic', 'work', 'data', 'privacy', 'protect', 'sensitive', 'information', 'adhere', 'relevant', 'data', 'protection', 'regulations', 'university', 'policies', 'including', 'data', 'classification', 'guidelines', 'crafting', 'input', 'prompts', 'giving', 'gen', 'ai', 'tools', 'access', 'documents', 'texts', 'images', 'ai', 'system', 'accuracy', 'quality', 'maintain', 'oversight', 'always', 'review', 'validate', 'ai-generated', 'content', 'ensure', 'accuracy', 'appropriateness', 'biased', 'data', 'regularly', 'monitor', 'evaluate', 'performance', 'ai', 'system', 'biases', 'unintended', 'consequences', 'transparency', 'clearly', 'communicate', 'end', 'users', 'stakeholders', 'use', 'ai', 'foster', 'environment', 'trust', 'accountability', 'copyright', 'ip', 'ensure', 'ai-generated', 'content', 'infringe', 'relevant', 'copyright', 'laws', 'respects', 'intellectual', 'property', 'rights', 'includes', 'protected', 'text', 'images', 'music', 'forms', 'media', 'ethical', 'considerations', 'understand', 'ethical', 'implications', 'ai', 'usage', 'use', 'gen', 'ai', 'applications', 'alignment', 'core', 'values', 'respect', 'fairness', 'explainability', 'data', 'protection', 'nt', 'use', 'non-public', 'princeton', 'data', 'public', 'gen', 'ai', 'tools', 'over-reliance', 'ai', 'rely', 'ai', 'results', 'without', 'cross', 'verification', 'particularly', 'complex', 'sensitive', 'situations', 'use', 'system', 'without', 'understanding', 'using', 'system', 'without', 'understanding', 'makes', 'decisions', 'lead', 'misuse', 'unintended', 'consequences', 'ai', 'system', 'provides', 'explanations', 'decisions', 'suggestions', 'ignore', 'overpromise', 'underdeliver', 'set', 'unrealistic', 'expectations', 'ai', 'achieve']"
token_count,int64,337,0,457
char_count,int64,337,0,4996
clean_text,object,337,0,"1. statement of purpose the purpose of this policy is to manage the use of princeton university administrative and operational information with generative ai tools. in order to support the responsible use of generative ai tools and to mitigate the risks and limitations associated with their use, only generative ai tools licensed by the university should be used with university information classified as unrestricted within princeton or confidential information under the university’s information security policy. publicly available generative ai tools lack the contractual protections required by the university. for guidance on the risks and limitations, as well as the appropriate use of, university-licensed generative ai tools, see the generative ai at princeton website. 2. who is affected by this policy this policy applies to all individuals and entities granted access to university information, including, but not limited to, employees, contractors, temporary employees, and volunteers. for the purposes of this policy, university information does not include information used for research, academic or instructional purposes. 3. definitions generative ai tools: information technology tools that create new content, such as text, images, or music, by learning patterns from existing data, and products that include such capabilities. university information: information that princeton university collects, possesses, or has access to, regardless of its source, to perform administrative and operational functions, including without limitation, student, financial and hr information. for the purposes of this policy, this does not include information used for research, academic or instructional purposes. university-licensed generative ai tool: generative ai tool for which the university maintains an enterprise agreement that grants the university a license to use such tool. (see the princeton-supported ai tools webpage for a list of more broadly available university-licensed generative ai tools.) 4. policy statement university-licensed generative ai tools should be used with princeton information classified as unrestricted within princeton or confidential under the university’s information security policy. the use of publicly available generative ai tools in conjunction with such princeton information is not permitted by the university. 5. procedure for requesting a generative ai tool if you are considering procuring a generative ai tool or if an existing information technology tool acquires generative ai capabilities, the first step is to schedule an architecture & security review (asr). for more information or to schedule an asr, please visit the asr webpage. if the product or tool receives asr endorsement, procurement or oit must assist you with contract review and negotiation to ensure the university receives the necessary contractual protections. if you would like the university to consider licensing a particular generative ai tool, contact vice president and cio daren hubbard or deputy cio carol kondrach. guidance on the use of generative ai at princeton do: accountability and responsibility: ensure that ai systems are used responsibly by identifying the benefits, risks, and limitations associated with each use case. please consult the university’s regulations in rights, rules, responsibilities on appropriate and inappropriate uses of ai for academic work. data privacy: protect sensitive information and adhere to relevant data protection regulations, and university policies, including data classification guidelines when crafting input prompts or giving gen ai tools the access to documents, texts or images to an ai system. accuracy and quality: maintain oversight and always review and validate ai-generated content to ensure accuracy and appropriateness. biased data: regularly monitor and evaluate the performance of the ai system for biases or unintended consequences. transparency: clearly communicate to the end users and stakeholders the use of ai to foster an environment of trust and accountability. copyright and ip: ensure ai-generated content doesn’t infringe on relevant copyright laws and respects intellectual property rights. this includes protected text, images, music, and other forms of media. ethical considerations: understand ethical implications of ai usage and use gen ai applications in alignment with core values such as respect, fairness and explainability. don’t: data protection: don't use non-public princeton data in public gen ai tools. over-reliance on ai: don’t rely on ai results without cross verification, particularly in complex or sensitive situations. use system without understanding: using the system without understanding how it makes decisions can lead to misuse or unintended consequences. if the ai system provides explanations for its decisions or suggestions, don’t ignore them. overpromise and underdeliver: don’t set unrealistic expectations about what ai can achieve."
vader_neg,float64,337,0,0.019
vader_neu,float64,337,0,0.85
vader_pos,float64,337,0,0.132
vader_compound,float64,337,0,0.9981
vader_label,object,337,0,Positive
roberta_label,object,337,0,Neutral
roberta_score,float64,337,0,0.0
school_type,object,337,0,Private nonprofit
policy_typology,object,337,0,Administrative Risk-Management
